id,category,en,de,fr,it,season
1,vegetables,artichoke,Artischocke,artichaut,carciofo,7:10
2,vegetables,asparagus,Spargel,asperge,asparago,4:6
3,vegetables,aubergine,Aubergine,aubergine,melanzana,6:10
4,vegetables,autumn turnip,Herbstrübe,rave d’automne,rapa autunnale,9:12
5,vegetables,batavia salad,Batavia,laitue batavia,lattuga batavia,3:11
6,vegetables,bean,Bohne,haricot,fagiolo,6:10
7,vegetables,beetroot,Rande,betterave,barbabietola,6:10
8,vegetables,bell pepper,Peperoni,poivron,peperone,6:10
9,vegetables,black salsify,Schwarzwurzel,scorsonère,scorzonera,1:5;10:12
10,vegetables,bok choy,Pak-Choi,pak-choi,pak-choi,4:11
11,vegetables,broccoli,Broccoli,brocoli,broccoli,5:11
12,vegetables,brussels sprouts,Rosenkohl,chou de bruxelles,cavoli di bruxelles,1:2;9:12
13,vegetables,carrot,Karotte,carotte,carota,6:11
14,vegetables,cauliflower,Blumenkohl,chou-fleur,cavolfiore,5:11
15,vegetables,celeriac,Knollensellerie,céleri-pomme,sedano rapa,6:10
16,vegetables,chickpea,Kichererbse,pois chiche,cece,8:8
17,vegetables,chicory,Chicorée,chicorée,cicoria belga,1:12
18,vegetables,chinese cabbage,Chinakohl,chou de chine,cavolo cinese,1:3;5:12
19,vegetables,courgette,Zucchetti,courgette,zucchina,5:10
20,vegetables,cucumber,Gurke,concombre,cetriolo,4:10
21,vegetables,endive salad,Endivie,endive,indivia,5:11
22,vegetables,fennel,Fenchel,fenouil,finocchio,5:11
23,vegetables,flower sprouts,Flower Sprouts,flower sprout,flower sprout,1:3;11:12
24,vegetables,garlic,Knoblauch,ail,aglio,1:4;6:12
25,vegetables,head lettuce,Kopfsalat,laitue pommée,lattuga cappuccio,2:12
26,vegetables,iceberg lettuce,Eisbergsalat,laitue iceberg,lattuga iceberg,4:10
27,vegetables,jerusalem artichoke,Topinambur,topinambour,topinambur,1:3;11:12
28,vegetables,kale,Federkohl,chou plume,cavolo piuma,1:3;11:12
29,vegetables,kardy,Kardy,cardon,cardo,10:11
30,vegetables,kohlrabi,Kohlrabi,chou-pomme,cavolo rapa,4:11
31,vegetables,lacinato kale,Palmkohl,chou palmier,cavolo nero,1:3;11:12
32,vegetables,lamb’s lettuce,Nüsslisalat,rampon,formentino / valerianella,1:12
33,vegetables,leek,Lauch,poireau,porro,1:12
34,vegetables,lentil,Linse,lentille,lenticchia,6:10
35,vegetables,lettuce,Lattich,laitue romaine,lattuga romana,5:10
36,vegetables,lollo,Lollo,lollo,lollo,4:11
37,vegetables,lupine,Lupine,lupin,lupino,7:10
38,vegetables,melon,Melone,melon,melone,6:9
39,vegetables,oak leaf lettuce,Eichblatt,feuille de chêne,lattuga foglia di quercia,3:12
40,vegetables,onion,Zwiebel,oignon,cipolla,4:11
41,vegetables,parsnip,Pastinake,panais,pastinaca,1:3;7:12
42,vegetables,patisson squash,Patisson,pâtisson,patisson,7:9
43,vegetables,pea,Erbse,petit pois,pisello,6:7
44,vegetables,pointed cabbage,Spitzkohl,chou pointu,cavolo a punta,9:11
45,vegetables,potato,Kartoffel,pomme de terre,patata,6:10
46,vegetables,puntarelle,Catalogna,catalonia,catalogna,5:12
47,vegetables,purslane,Portulak,pourpier,portulaca,1:12
48,vegetables,quinoa,Quinoa,quinoa,quinoa,7:8
49,vegetables,radicchio,Cicorino Rosso,cicorino rosso,cicorino rosso,1:2;6:12
